id,titulo,genero,rating
2,Generals Daughter,Accion,2.00
3,Angry Silence,Accion,10.00
4,Day After Trinity,Accion,5.00
7,Who Is John Galt,Accion,3.00
8,How to Survive a Plague,Accion,4.00
10,The Case of Lucky Legs,Accion,3.00
12,Romantic Comedy,Accion,9.00
21,Sgt Kabukiman,Accion,6.00
23,American Winterr,Accion,4.00
24,Tic Code,Accion,7.00
25,Kick Ass,Accion,3.00
41,Brute The Bruto,Accion,7.00
44,Summer in Berlin,Accion,2.00
45,Presidents Man,Accion,5.00
49,Horrible Bosses 2,Accion,9.00
55,Divorcee,Accion,6.00
59,1969,Accion,2.00
65,10 000 timmar,Accion,9.00
67,Mystery Science Theater 3000,Accion,6.00
68,Mountaintop Motel Massacre,Accion,1.00
76,North to Alaska,Accion,2.00
81,Carbon Copy,Accion,10.00
83,Dodge City,Accion,5.00
87,Je appelle Elisabeth,Accion,7.00
95,Cloverfield,Accion,8.00
100,You Kill Me,Accion,5.00
