id,titulo,genero,rating
1,Docks of New York,Comedia,3.00
9,The Man From The Alamo,Comedia,7.00
15,Dragonquest,Comedia,6.00
17,Satans Tango ,Comedia,4.00
27,Telefon,Comedia,10.00
31,Floundering,Comedia,5.00
35,With Love,Comedia,1.00
42,Experiment in Terror,Comedia,10.00
46,36 Quai des Orfevres,Comedia,6.00
47,Raiders of the Lost Ark,Comedia,4.00
50,Jill the Ripper,Comedia,9.00
52,That Touch of Mink,Comedia,5.00
60,Flying Down to Rio,Comedia,2.00
69,My Favorite Martian,Comedia,7.00
71,Dr. Jack,Comedia,1.00
77,Doubt,Comedia,7.00
80,Surfs Up,Comedia,1.00
85,Quicksilver Highway,Comedia,5.00
92,Silent House,Comedia,1.00
93,Ordinary Decent Criminal,Comedia,7.00
94,Eerie Tales,Comedia,7.00
96,Way We Laughed,Comedia,3.00
98,Best Defense,Comedia,5.00
