id,titulo,genero,rating
5,Disneyland Dream,Terror,6.00
6,Eenfance naked Childhood,Terror,1.00
11,Musketeer,Terror,6.00
22,Naked in New York,Terror,3.00
26,In the Cut,Terror,1.00
28,The Coven,Terror,10.00
29,Dirty Work,Terror,3.00
34,Yonkers Joe,Terror,2.00
38,Battlestar Galactica,Terror,9.00
43,At the Earths Core,Terror,3.00
48,Taxi 4,Terror,1.00
56,Minions,Terror,9.00
57,Dragon Ball Z,Terror,6.00
61,Wednesday,Terror,6.00
62,Dawn Rider,Terror,10.00
64,Ugly Truth,Terror,4.00
72,5 Deadly Venoms,Terror,9.00
74,In America,Terror,2.00
79,Kanine,Terror,4.00
86,Creepshow 2,Terror,1.00
90,Cheech and Chong,Terror,6.00
97,Vie en Rose,Terror,10.00
99,Jimmy Rosenberg,Terror,8.00
